12:59:12 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  17/60  train 0.19150  val 0.64074  lr 8.78e-04  0.5s
12:59:12 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  18/60  train 0.18018  val 0.65953  lr 8.60e-04  0.5s
12:59:13 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  19/60  train 0.17199  val 0.62131  lr 8.40e-04  0.6s
12:59:13 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  20/60  train 0.16757  val 0.65102  lr 8.20e-04  0.6s
12:59:13 | INFO    | 16_gap_injection |     gru_h64_l2       RMSE   88.54  skill +0.0899  (3 seeds)
12:59:13 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42: 21313 params | train 21732 windows, val 4251 | 85 steps/epoch | matrix 2.3 MB on device
12:59:14 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch   1/60  train 2.76775  val 0.72760  lr 3.33e-04  0.6s  *
12:59:14 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch   2/60  train 0.46604  val 0.50402  lr 6.67e-04  0.4s  *
12:59:15 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch   3/60  train 0.41761  val 0.48061  lr 1.00e-03  0.4s  *
12:59:15 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch   4/60  train 0.40594  val 0.51213  lr 1.00e-03  0.5s
12:59:16 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch   5/60  train 0.39374  val 0.52137  lr 9.99e-04  0.4s
12:59:16 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch   6/60  train 0.38690  val 0.48305  lr 9.97e-04  0.4s
12:59:17 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch   7/60  train 0.37697  val 0.49338  lr 9.93e-04  0.5s
12:59:17 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch   8/60  train 0.36581  val 0.54950  lr 9.88e-04  0.5s
12:59:18 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch   9/60  train 0.35716  val 0.50208  lr 9.81e-04  0.4s
12:59:18 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  10/60  train 0.34298  val 0.50191  lr 9.73e-04  0.5s
12:59:18 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  11/60  train 0.32893  val 0.50471  lr 9.64e-04  0.4s
12:59:19 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  12/60  train 0.31855  val 0.50982  lr 9.53e-04  0.4s
12:59:19 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  13/60  train 0.30858  val 0.50328  lr 9.40e-04  0.4s
12:59:20 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  14/60  train 0.29882  val 0.52571  lr 9.27e-04  0.4s
12:59:20 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  15/60  train 0.28640  val 0.50122  lr 9.12e-04  0.4s
12:59:21 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  16/60  train 0.28183  val 0.50515  lr 8.96e-04  0.4s
12:59:21 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  17/60  train 0.27040  val 0.50678  lr 8.78e-04  0.4s
12:59:21 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  18/60  train 0.26485  val 0.51365  lr 8.60e-04  0.4s
12:59:22 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  19/60  train 0.25450  val 0.53108  lr 8.40e-04  0.4s
12:59:22 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  20/60  train 0.24773  val 0.53100  lr 8.20e-04  0.4s
12:59:22 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337: 21313 params | train 21732 windows, val 4251 | 85 steps/epoch | matrix 2.3 MB on device
12:59:23 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch   1/60  train 2.80865  val 0.47619  lr 3.33e-04  0.4s  *
12:59:23 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch   2/60  train 0.45905  val 0.49659  lr 6.67e-04  0.4s
12:59:23 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch   3/60  train 0.41559  val 0.49526  lr 1.00e-03  0.4s
12:59:24 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch   4/60  train 0.39615  val 0.50616  lr 1.00e-03  0.4s
12:59:24 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch   5/60  train 0.38647  val 0.48339  lr 9.99e-04  0.4s
12:59:25 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch   6/60  train 0.37420  val 0.49761  lr 9.97e-04  0.4s
12:59:25 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch   7/60  train 0.36370  val 0.49231  lr 9.93e-04  0.4s
12:59:26 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch   8/60  train 0.35377  val 0.48031  lr 9.88e-04  0.5s
12:59:26 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch   9/60  train 0.35196  val 0.49518  lr 9.81e-04  0.5s
12:59:27 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  10/60  train 0.34114  val 0.47701  lr 9.73e-04  0.4s
12:59:27 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  11/60  train 0.33130  val 0.50438  lr 9.64e-04  0.4s
12:59:27 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  12/60  train 0.31880  val 0.48419  lr 9.53e-04  0.4s
12:59:28 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  13/60  train 0.31399  val 0.48738  lr 9.40e-04  0.4s
12:59:28 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  14/60  train 0.29935  val 0.50374  lr 9.27e-04  0.4s
12:59:29 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  15/60  train 0.28831  val 0.48060  lr 9.12e-04  0.4s
12:59:29 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  16/60  train 0.27872  val 0.50968  lr 8.96e-04  0.4s
12:59:29 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  17/60  train 0.26582  val 0.50966  lr 8.78e-04  0.4s
12:59:30 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  18/60  train 0.25634  val 0.51489  lr 8.60e-04  0.4s
12:59:30 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  19/60  train 0.24383  val 0.56222  lr 8.40e-04  0.4s
12:59:31 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  20/60  train 0.23360  val 0.55245  lr 8.20e-04  0.4s
12:59:31 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024: 21313 params | train 21732 windows, val 4251 | 85 steps/epoch | matrix 2.3 MB on device
