13:31:05 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42: resumed from epoch 38 (best val 0.43405)
13:31:05 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42: 40961 params | train 19898 windows, val 4209 | 78 steps/epoch | matrix 2.3 MB on device
13:31:06 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42 epoch  39/65  train 0.06542  val 0.64294  lr 1.20e-03  1.0s
13:31:06 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42 epoch  40/65  train 0.06471  val 0.63121  lr 1.13e-03  0.5s
13:31:07 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42 epoch  41/65  train 0.06451  val 0.63382  lr 1.06e-03  0.5s
13:31:07 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42 epoch  42/65  train 0.06271  val 0.64313  lr 9.86e-04  0.4s
13:31:08 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42 epoch  43/65  train 0.06313  val 0.64003  lr 9.15e-04  0.5s
13:31:08 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42 epoch  44/65  train 0.06059  val 0.65161  lr 8.47e-04  0.5s
13:31:08 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42 epoch  45/65  train 0.06050  val 0.63455  lr 7.79e-04  0.4s
13:31:09 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42 epoch  46/65  train 0.06011  val 0.63923  lr 7.14e-04  0.4s
13:31:09 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42 epoch  47/65  train 0.05898  val 0.64948  lr 6.51e-04  0.5s
