16:51:05 | INFO    | 06_train_sequence | device=cuda progress=tqdm max_minutes=10.0
17:20:01 | INFO    | 06_train_sequence |   gru_h32_l1_w24_H1_s1337  RMSE   41.43  MAE   22.53  R2  0.797  skill -0.1326  (13089 params, 16 s, early stopping after 10 epochs without improvement)
17:20:01 | INFO    | 06_train_sequence | [3/675] gru_h32_l1_w24_H1_s2024
17:20:01 | WARNING | 06_train_sequence | CodeCarbon unavailable (TypeError: BaseEmissionsTracker.__init__() got an unexpected keyword argument 'country_iso_code'); timing only
17:20:01 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s2024: 13089 params | train 27186 windows, val 6160 | 107 steps/epoch | matrix 30.8 MB on device
17:20:02 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s2024 epoch   1/60  train 1.72042  val 0.11115  lr 1.00e-03  0.5s  *
17:20:03 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s2024 epoch   2/60  train 0.17810  val 0.05968  lr 1.00e-03  0.8s  *
17:20:04 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s2024 epoch   3/60  train 0.15079  val 0.05424  lr 1.00e-03  0.9s  *
17:20:06 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s2024 epoch   4/60  train 0.14408  val 0.05300  lr 1.00e-03  1.0s  *
17:20:06 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s2024 epoch   5/60  train 0.13558  val 0.04645  lr 1.00e-03  0.8s  *
17:20:08 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s2024 epoch   6/60  train 0.13005  val 0.04784  lr 1.00e-03  1.0s
17:20:09 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s2024 epoch   7/60  train 0.12757  val 0.04754  lr 1.00e-03  1.0s
17:20:13 | INFO    | 06_train_sequence | device=cuda progress=plain max_minutes=10.0
17:20:13 | WARNING | 06_train_sequence | excluded gru_h128_l2: 188289 parameters exceeds the 100000 budget
