15:19:08 | INFO    | 16_gap_injection | --force over the full grid: discarding 101 existing cells so a partial run leaves no stale mixture (restart without --force to resume)
15:19:44 | INFO    | 16_gap_injection |     lstm_h64_l1: 20655 windows, 81 steps/epoch -> 63 epochs (~5103 optimizer steps)
15:19:44 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337: resumed from epoch 21 (best val 0.44251)
15:19:44 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337: 21313 params | train 20655 windows, val 4105 | 81 steps/epoch | matrix 2.3 MB on device
15:19:44 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  22/63  train 0.18361  val 0.54358  lr 2.38e-03  0.3s
15:19:45 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  23/63  train 0.17544  val 0.54662  lr 2.32e-03  0.3s
15:19:45 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  24/63  train 0.16697  val 0.54744  lr 2.25e-03  0.3s
15:19:45 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  25/63  train 0.16415  val 0.60922  lr 2.18e-03  0.3s
15:19:46 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  26/63  train 0.15464  val 0.56759  lr 2.11e-03  0.3s
15:19:46 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  27/63  train 0.15685  val 0.56328  lr 2.04e-03  0.3s
15:19:46 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  28/63  train 0.14473  val 0.54756  lr 1.97e-03  0.3s
15:19:47 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  29/63  train 0.14280  val 0.55872  lr 1.89e-03  0.3s
15:19:47 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  30/63  train 0.13767  val 0.55510  lr 1.82e-03  0.3s
15:19:47 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  31/63  train 0.13760  val 0.57362  lr 1.74e-03  0.3s
15:19:48 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  32/63  train 0.13392  val 0.57892  lr 1.66e-03  0.3s
15:19:48 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  33/63  train 0.13037  val 0.56634  lr 1.58e-03  0.3s
15:19:48 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  34/63  train 0.12736  val 0.57448  lr 1.51e-03  0.3s
15:19:49 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  35/63  train 0.12477  val 0.54987  lr 1.43e-03  0.3s
15:19:49 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  36/63  train 0.12100  val 0.56448  lr 1.35e-03  0.3s
15:19:50 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s1337 epoch  37/63  train 0.11739  val 0.57218  lr 1.27e-03  0.3s
15:19:50 | INFO    | 16_gap_injection |     lstm_h64_l1: 20655 windows, 81 steps/epoch -> 63 epochs (~5103 optimizer steps)
15:19:50 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024: resumed from epoch 21 (best val 0.45390)
15:19:50 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024: 21313 params | train 20655 windows, val 4105 | 81 steps/epoch | matrix 2.3 MB on device
15:19:50 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  22/63  train 0.21625  val 0.52805  lr 2.38e-03  0.3s
15:19:50 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  23/63  train 0.21043  val 0.52201  lr 2.32e-03  0.3s
15:19:51 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  24/63  train 0.19980  val 0.51486  lr 2.25e-03  0.3s
15:19:51 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  25/63  train 0.19282  val 0.52259  lr 2.18e-03  0.3s
15:19:51 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  26/63  train 0.18531  val 0.52301  lr 2.11e-03  0.3s
15:19:52 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  27/63  train 0.18328  val 0.55391  lr 2.04e-03  0.3s
15:19:52 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  28/63  train 0.17962  val 0.53751  lr 1.97e-03  0.3s
15:19:52 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  29/63  train 0.17029  val 0.54948  lr 1.89e-03  0.3s
15:19:53 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  30/63  train 0.17079  val 0.52886  lr 1.82e-03  0.3s
15:19:53 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  31/63  train 0.16443  val 0.59944  lr 1.74e-03  0.3s
15:19:53 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  32/63  train 0.15667  val 0.58424  lr 1.66e-03  0.3s
15:19:54 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  33/63  train 0.14748  val 0.55819  lr 1.58e-03  0.3s
15:19:54 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  34/63  train 0.14431  val 0.57498  lr 1.51e-03  0.3s
15:19:54 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  35/63  train 0.14016  val 0.58135  lr 1.43e-03  0.4s
15:19:55 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  36/63  train 0.13785  val 0.57234  lr 1.35e-03  0.3s
15:19:55 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  37/63  train 0.13728  val 0.57981  lr 1.27e-03  0.3s
