Model,Window (h),h (hours),Params,Seeds,RMSE,MAE,R2,Skill
lstm_h32_l1,168,6,6689,5,58.25 ± 1.11,36.72 ± 0.60,0.598 ± 0.015,0.2955 ± 0.0134
gru_h32_l1,48,6,5025,5,58.28 ± 0.80,36.03 ± 0.47,0.598 ± 0.011,0.2950 ± 0.0097
gru_h64_l2,168,6,41153,5,58.50 ± 0.94,36.48 ± 0.55,0.595 ± 0.013,0.2924 ± 0.0114
lstm_h64_l2,48,6,54849,5,58.56 ± 1.65,37.21 ± 0.67,0.594 ± 0.023,0.2917 ± 0.0200
gru_h32_l2,168,6,11361,5,58.62 ± 1.76,36.47 ± 0.65,0.593 ± 0.025,0.2910 ± 0.0213
gru_h32_l2,48,6,11361,5,58.62 ± 1.31,36.38 ± 0.51,0.593 ± 0.018,0.2909 ± 0.0159
lstm_h64_l2,168,6,54849,5,58.71 ± 1.63,37.04 ± 0.79,0.592 ± 0.023,0.2898 ± 0.0197
lstm_h32_l2,168,6,15137,5,58.85 ± 0.44,37.01 ± 0.36,0.590 ± 0.006,0.2882 ± 0.0053
lstm_h32_l2,24,6,15137,5,58.91 ± 1.47,36.84 ± 0.74,0.589 ± 0.021,0.2875 ± 0.0178
gru_h32_l1,168,6,5025,5,59.13 ± 1.63,36.72 ± 0.76,0.586 ± 0.023,0.2847 ± 0.0197
lstm_h32_l2,48,6,15137,5,59.51 ± 1.37,37.17 ± 0.59,0.581 ± 0.019,0.2802 ± 0.0165
dlinear,168,6,6050,5,62.63 ± 2.96,39.85 ± 2.09,0.535 ± 0.045,0.2425 ± 0.0358
dlinear,48,6,1730,5,64.02 ± 2.20,40.62 ± 1.36,0.514 ± 0.034,0.2256 ± 0.0266
dlinear,24,6,866,5,64.25 ± 2.04,40.75 ± 1.52,0.511 ± 0.031,0.2228 ± 0.0247
nlinear,168,6,3027,5,64.45 ± 4.31,41.59 ± 3.18,0.507 ± 0.068,0.2204 ± 0.0521
nlinear,48,6,867,5,68.14 ± 2.38,42.50 ± 1.26,0.450 ± 0.038,0.1758 ± 0.0287
nlinear,24,6,435,5,77.10 ± 0.84,45.70 ± 0.63,0.296 ± 0.015,0.0674 ± 0.0101
gru_h128_l1,24,12,56961,5,58.47 ± 0.61,37.77 ± 0.83,0.595 ± 0.008,0.4073 ± 0.0062
lstm_h64_l2,48,12,54849,5,58.49 ± 0.31,37.25 ± 0.76,0.595 ± 0.004,0.4071 ± 0.0031
lstm_h64_l2,168,12,54849,5,58.60 ± 0.29,37.17 ± 0.45,0.594 ± 0.004,0.4060 ± 0.0029
gru_h64_l1,24,12,16193,5,58.82 ± 0.89,36.91 ± 0.63,0.591 ± 0.012,0.4038 ± 0.0091
lstm_h128_l1,168,12,75905,5,58.90 ± 0.53,37.90 ± 0.53,0.590 ± 0.007,0.4030 ± 0.0054
lstm_h64_l2,24,12,54849,5,58.98 ± 0.78,37.15 ± 0.52,0.588 ± 0.011,0.4021 ± 0.0079
lstm_h128_l1,48,12,75905,5,59.04 ± 0.64,37.92 ± 0.62,0.588 ± 0.009,0.4015 ± 0.0065
gru_h32_l2,24,12,11361,5,59.13 ± 1.08,36.83 ± 0.47,0.586 ± 0.015,0.4006 ± 0.0109
lstm_h128_l1,24,12,75905,5,59.16 ± 1.00,38.21 ± 1.42,0.586 ± 0.014,0.4003 ± 0.0101
gru_h128_l1,48,12,56961,5,59.24 ± 0.52,37.84 ± 0.97,0.585 ± 0.007,0.3995 ± 0.0053
lstm_h32_l1,24,12,6689,5,59.40 ± 1.01,37.81 ± 0.22,0.583 ± 0.014,0.3979 ± 0.0102
gru_h64_l2,48,12,41153,5,59.44 ± 0.93,36.97 ± 0.44,0.582 ± 0.013,0.3975 ± 0.0094
lstm_h32_l1,168,12,6689,5,59.45 ± 1.14,37.81 ± 0.61,0.582 ± 0.016,0.3974 ± 0.0115
gru_h32_l2,48,12,11361,5,59.51 ± 0.90,36.93 ± 0.67,0.581 ± 0.013,0.3968 ± 0.0091
lstm_h64_l1,24,12,21569,5,59.51 ± 1.21,37.90 ± 0.42,0.581 ± 0.017,0.3968 ± 0.0123
gru_h64_l2,24,12,41153,5,59.57 ± 1.29,37.06 ± 0.61,0.580 ± 0.018,0.3962 ± 0.0131
gru_h64_l1,48,12,16193,5,59.65 ± 0.55,37.22 ± 0.41,0.579 ± 0.008,0.3954 ± 0.0056
gru_h32_l2,168,12,11361,5,59.67 ± 0.87,37.15 ± 0.47,0.579 ± 0.012,0.3951 ± 0.0089
lstm_h64_l1,48,12,21569,5,59.67 ± 1.38,38.03 ± 0.49,0.579 ± 0.020,0.3951 ± 0.0139
lstm_h32_l2,48,12,15137,5,59.68 ± 1.36,37.95 ± 0.75,0.578 ± 0.019,0.3951 ± 0.0138
lstm_h32_l1,48,12,6689,5,59.70 ± 1.24,37.86 ± 0.34,0.578 ± 0.017,0.3948 ± 0.0125
gru_h128_l1,168,12,56961,5,59.73 ± 0.55,38.47 ± 0.36,0.578 ± 0.008,0.3946 ± 0.0056
lstm_h32_l2,24,12,15137,5,59.75 ± 1.01,38.00 ± 0.44,0.578 ± 0.014,0.3943 ± 0.0103
lstm_h32_l2,168,12,15137,5,59.82 ± 1.32,37.85 ± 0.41,0.576 ± 0.019,0.3936 ± 0.0134
gru_h32_l1,48,12,5025,5,59.84 ± 1.12,37.40 ± 0.30,0.576 ± 0.016,0.3934 ± 0.0113
lstm_h64_l1,168,12,21569,5,59.86 ± 1.48,38.11 ± 0.39,0.576 ± 0.021,0.3933 ± 0.0150
