model,horizon_h,stratum,group,n,rmse,mae,r2,smape,bias,reference_rmse,skill_vs_persistence
climatology,3,pollution,observed <= 35 ug/m3,1173,29.832003767395772,18.574915491473398,-13.40664032664513,51.441163839836065,17.738750902395125,22.97290742817123,-0.2985732807512804
sarimax,3,overall,all,9308,55.48623090134229,35.15752644208927,0.635899719005278,31.01195839129623,-6.940764703053906,60.40721282062346,0.08146348241382706
sarimax,3,season,monsoon (wet),3068,30.472729002836164,20.507028784939553,0.3501244251232709,38.346603560643835,6.93655512106543,32.639990349463,0.06639895794768491
sarimax,3,season,dry,6240,64.31074042977441,42.36068779018789,0.5097847318961514,27.405757849700326,-13.763780283245913,70.1335982835701,0.08302522608710605
sarimax,3,pollution,observed > 65 ug/m3,6186,65.50604707040502,43.629624722398496,0.4248239016639388,26.938355046606155,-18.73484552288763,71.45869300022024,0.08330191443323587
sarimax,3,pollution,observed <= 65 ug/m3,3122,26.011600124530982,18.370723123065286,-1.8375648699329576,39.08348635101847,16.42828845245263,27.569509149082297,0.05650840630229981
sarimax,3,pollution,observed > 35 ug/m3,8135,58.510522714213664,37.25788749340516,0.5746613437360508,26.90576922167271,-10.894467228236753,64.02286989237007,0.08609965762895833
sarimax,3,pollution,observed <= 35 ug/m3,1173,26.22485528358468,20.591083856876338,-10.133303901918373,59.48923792657962,20.478988103734206,22.97290742817123,-0.1415557811122179
ridge,3,overall,all,9311,62.848994421021764,36.09314000046247,0.533015850639925,29.975337951828134,-3.164801386909064,60.40721282062346,-0.04042202058964506
ridge,3,season,monsoon (wet),3068,30.1841989701952,18.450691569510976,0.3623728135894816,36.15346960280334,-11.407919847348523,32.639990349463,0.07523872871819648
ridge,3,season,dry,6243,73.77946175575254,44.76317552603657,0.3548451036520843,26.93921623066973,0.8861176322529212,70.1335982835701,-0.05198454893817339
ridge,3,pollution,observed > 65 ug/m3,6189,76.01646730042248,47.880136403996865,0.22547451263163354,29.20441721488014,-6.305281220391209,71.45869300022024,-0.06378194322961095
ridge,3,pollution,observed <= 65 ug/m3,3122,18.033145826858156,12.72679767455778,-0.3638124481330325,31.503598182760594,3.0608327224506375,27.569509149082297,0.34590254293814937
ridge,3,pollution,observed > 35 ug/m3,8138,66.96056792851009,39.79967299329311,0.4430799331757511,28.8466383361268,-4.625973353348085,64.02286989237007,-0.045885135125598664
ridge,3,pollution,observed <= 35 ug/m3,1173,15.721342334868742,10.378079901864195,-3.001078872945241,37.805992233650365,6.972468402418089,22.97290742817123,0.31565726349508694
random_forest,3,overall,all,9311,48.89157831207336,29.882487085364033,0.717399069417159,26.138562599123325,-8.584337360235377,60.40721282062346,0.19063343549296452
random_forest,3,season,monsoon (wet),3068,27.625557194510662,16.549023611691986,0.4658913539585867,31.446089926557597,-6.579724827027076,32.639990349463,0.15362851217983997
random_forest,3,season,dry,6243,56.48052196217426,36.434956400953624,0.6219141399028171,23.530282310709378,-9.569464903384992,70.1335982835701,0.19467240602988267
random_forest,3,pollution,observed > 65 ug/m3,6189,58.345932989452734,38.512106044159175,0.543709396045873,24.573499118639305,-16.046695562644857,71.45869300022024,0.18350125730297207
random_forest,3,pollution,observed <= 65 ug/m3,3122,19.507039888026362,12.775276407598787,-0.5958585870764577,29.241117974112328,6.20891533506004,27.569509149082297,0.2924415236215516
random_forest,3,pollution,observed > 35 ug/m3,8138,51.863281142274644,32.63947883217385,0.6659014523836185,24.713891170834763,-11.032541378209121,64.02286989237007,0.1899257057757191
random_forest,3,pollution,observed <= 35 ug/m3,1173,17.695352487442904,10.755122349184767,-4.068930067604651,36.02260018089006,8.400730242723146,22.97290742817123,0.22972951757323334
xgboost,3,overall,all,9311,48.83351376480024,29.828837108584562,0.7180699150632289,26.025206676369066,-7.834766738076431,60.40721282062346,0.1915946542706879
xgboost,3,season,monsoon (wet),3068,27.246318915194152,16.399983235972474,0.480454979116247,31.14636580193618,-6.023940585642496,32.639990349463,0.16524733544713144
