model,window,horizon_h,seed,n_params,rmse,mae,r2,smape,bias,n,skill_vs_persistence
gru_h32_l2,48,6,31415,11361,59.137646747612756,36.49826476024799,0.5861494805200878,31.640011790363413,-17.424397184984684,9277,0.28466582374183746
gru_h32_l2,48,12,42,11361,59.165599928935094,36.619974881390824,0.5858794370414215,31.71834542361949,-10.12425262854838,9212,0.4002762956644236
gru_h32_l2,48,12,1337,11361,59.462645384545496,37.81564228295554,0.5817107502149843,32.89291110031642,-8.706563560512347,9212,0.3972653365731832
gru_h32_l2,48,12,2024,11361,61.03079955957075,37.246886456813634,0.5593575128184332,32.39121355747444,-16.87721950559258,9212,0.3813699643983881
gru_h32_l2,48,12,7,11361,58.69388024851896,36.02646202181292,0.5924565722146439,31.407385549428014,-11.656074074132867,9212,0.40505781523807716
gru_h32_l2,48,12,31415,11361,59.17415478448535,36.918123248688865,0.5857596715788453,32.06007265075017,-10.326204696637593,9212,0.40018958058561394
gru_h32_l2,48,24,42,11361,61.89107389421261,38.32435831675605,0.5498428581706676,33.746107255385155,-17.47914498244549,9083,0.1609629520985244
gru_h32_l2,48,24,1337,11361,61.819248972179956,38.18768168884279,0.5508870714492771,33.28051150130676,-18.412204027527434,9083,0.16193665907686894
gru_h32_l2,48,24,2024,11361,62.27909110870737,38.77731603141376,0.5441807734956856,33.68924877728468,-16.50059196437904,9083,0.15570272961892906
gru_h32_l2,48,24,7,11361,59.057350797600485,36.70922073907886,0.5901206575286175,32.122752219901976,-11.30744582078412,9083,0.19937880937732333
gru_h32_l2,48,24,31415,11361,58.301117168918225,36.86737185508177,0.6005505186442528,32.281362619109885,-4.919103162489288,9083,0.2096308213624105
gru_h32_l2,168,1,42,11361,35.406226265667996,19.944668356117706,0.851779301411955,18.189175751535007,-3.805577491873072,9334,0.032130018009725925
gru_h32_l2,168,1,1337,11361,35.19067084974518,19.88001342606374,0.8535785622503178,18.118540637940733,-3.391756661147174,9334,0.03802247361800459
gru_h32_l2,168,1,2024,11361,34.686012159221626,19.558028456068165,0.8577480203387517,17.85172127331826,-4.996817449439457,9334,0.05181790027667377
gru_h32_l2,168,1,7,11361,34.972832113843474,19.590382989804237,0.8553857195092388,17.712322494862644,-6.050382786540435,9334,0.04397734640822948
gru_h32_l2,168,1,31415,11361,35.41313281031789,19.71174659834308,0.8517214701870794,17.922446581548353,-5.349513296988604,9334,0.03194121965556784
gru_h32_l2,168,3,42,11361,49.80264468314802,30.515174677024298,0.7067687277908208,27.041195419471663,-7.722339142945732,9311,0.1755513562422626
gru_h32_l2,168,3,1337,11361,50.144919329892254,30.42668352104292,0.7027243434749395,26.448465533326214,-8.822384677392641,9311,0.16988523408958844
gru_h32_l2,168,3,2024,11361,49.829379542548786,31.122923222031435,0.7064538207786247,27.273152495116747,-0.39936467795305164,9311,0.17510877897123112
gru_h32_l2,168,3,7,11361,49.10004677978229,29.978050915137597,0.7149839711447717,26.380021933217428,-6.760725628659278,9311,0.18718238291207534
gru_h32_l2,168,3,31415,11361,49.95874666247173,30.24860577541782,0.7049276320205224,26.549553532589204,-9.169580412167388,9311,0.17296719498014224
gru_h32_l2,168,6,42,11361,57.01961134741799,35.94948866398409,0.6152630190332005,31.59870142210355,-9.05253827241014,9277,0.3102857662253471
gru_h32_l2,168,6,1337,11361,56.98621274647156,35.802560205134796,0.6157135978188384,31.034084907848914,-7.631067915225645,9277,0.3106897586398264
gru_h32_l2,168,6,2024,11361,58.36892402842249,36.43506802897108,0.596838732037718,31.351500204530435,-9.309585467928322,9277,0.2939643613628852
gru_h32_l2,168,6,7,11361,59.60882777707666,36.743761052643016,0.5795284750210665,31.54239918834929,-14.935759757805751,9277,0.2789663765687279
gru_h32_l2,168,6,31415,11361,61.098270293695734,37.42409509087323,0.5582533567484029,31.909513166932925,-20.221348566355005,9277,0.2609499488901511
gru_h32_l2,168,12,42,11361,58.89966604859736,36.600234179125934,0.5895937977022754,32.06017415010845,-9.805244400406215,9212,0.40297189668961453
gru_h32_l2,168,12,1337,11361,59.1875948245283,37.91431074892364,0.5855714799984011,32.86744746849235,-5.491574535546808,9212,0.40005334752771105
gru_h32_l2,168,12,2024,11361,60.776261212745034,37.0784805017883,0.5630253828088534,32.27413459915407,-15.948650515161097,9212,0.3839500562158822
gru_h32_l2,168,12,7,11361,60.45005140343317,37.092711614468215,0.5677036191932215,32.36015201856367,-16.10655459429422,9212,0.3872566356381495
gru_h32_l2,168,12,31415,11361,59.04368377033497,37.078691884116616,0.587584345661393,32.190753545044544,-8.551427470632307,9212,0.40151208149845297
gru_h32_l2,168,24,42,11361,60.56254802287438,37.54109341363207,0.5689611796146073,33.71528334038272,-16.778899358004313,9083,0.1789733428546072
gru_h32_l2,168,24,1337,11361,61.99180704682826,38.361971615419186,0.5483763252021776,33.429446542467204,-18.831328291359178,9083,0.15959734569232598
gru_h32_l2,168,24,2024,11361,62.0892235678098,38.66791509385319,0.5469558092482552,33.49792524310406,-15.821519922506562,9083,0.15827670177651842
gru_h32_l2,168,24,7,11361,59.076217745741864,36.737768517209545,0.5898587288289499,32.05547190266856,-11.93857069497945,9083,0.1991230363316251
gru_h32_l2,168,24,31415,11361,58.4379086883774,36.65043580185738,0.5986738683700357,32.23732511025918,-7.820031075097615,9083,0.20777638346945748
gru_h64_l1,24,1,42,16193,33.84917057564275,19.193783369973595,0.8645292179865348,17.483523962073544,-1.3393457332984635,9334,0.07469392898274851
gru_h64_l1,24,1,1337,16193,35.0542386130675,19.523437424253803,0.8547116966684463,17.72043525638487,-2.257008231258531,9334,0.041752005973848094
gru_h64_l1,24,1,2024,16193,35.260866007985584,19.481174721455638,0.852993843253433,17.649162775046754,-3.6337985724984883,9334,0.03610360810457314
gru_h64_l1,24,1,7,16193,36.1547074017525,19.657052344097337,0.8454463459672945,17.670448451850294,-4.548125513490038,9334,0.011669423924763334
gru_h64_l1,24,1,31415,16193,34.72202557186573,19.310303036925557,0.8574524753372202,17.51448066555346,-2.469648365375471,9334,0.05083343215556668
gru_h64_l1,24,3,42,16193,48.31809709284369,29.359811527579048,0.7239898092112778,25.927127295555085,-6.842188277823801,9311,0.20012702396447024
gru_h64_l1,24,3,1337,16193,48.27373752321819,29.205709929858525,0.7244963719157779,25.645873725913955,-7.3005738960258215,9311,0.20086136623179562
gru_h64_l1,24,3,2024,16193,50.16924599023,29.919934624736772,0.7024358405449385,26.323297652311467,-11.350726498202421,9311,0.1694825229032606
gru_h64_l1,24,3,7,16193,48.03082053436175,29.937427543652102,0.7272621046164862,26.286087102978005,-0.9072547862277689,9311,0.20488269046633312
gru_h64_l1,24,3,31415,16193,48.761560525179256,29.513595094140072,0.7189001169658038,25.996637974430353,-7.685470572736425,9311,0.19278579082973835
gru_h64_l1,24,6,42,16193,55.34062589549125,34.543636809527676,0.637587172931462,30.406864211957814,-8.812223618211895,9277,0.3305949219198445
