model,horizon_h,stratum,group,n,rmse,mae,r2,smape,bias,reference_rmse,skill_vs_persistence
lightgbm,3,season,monsoon (wet),979,22.155349687119745,14.469209707016667,0.744117080555214,28.657125636083407,0.011435972849540005,24.03903872961484,0.07835958266394771
lightgbm,3,season,dry,2960,49.80696683120558,25.857285995226086,0.7679943913524865,32.38894391774988,-6.794905586451704,46.9194392952834,-0.06154224302958489
lightgbm,3,pollution,observed > 65 ug/m3,1830,57.95750776281414,35.441350014701236,0.6195682056459877,23.178894645045343,-19.58645221128501,49.64839763756875,-0.16735907945915085
lightgbm,3,pollution,observed <= 65 ug/m3,2109,28.193775855907873,12.25474268474883,-1.3975390737267186,38.64828012983988,7.463955821799066,34.91574224364772,0.1925196474654004
lightgbm,3,pollution,observed > 35 ug/m3,2450,51.896894414105695,30.232596130249842,0.6989978318019066,23.721359609681603,-13.135824102359743,46.08553715314467,-0.1260993712984093
lightgbm,3,pollution,observed <= 35 ug/m3,1489,28.682383385671148,11.17062614501439,-8.750441992260118,44.19695698491965,8.113528765818685,35.518664868814106,0.1924701141890418
lstm_h64_l1,3,overall,all,3939,41.67061877237806,23.580543872063352,0.8039075174642374,34.19658435857775,-6.612595355207902,42.401818256050554,0.017244531337241686
lstm_h64_l1,3,season,monsoon (wet),979,22.403937033113916,15.155988118047961,0.7383427541858594,30.962934046032327,-0.6376775410582205,24.03903872961484,0.06801859736955973
lstm_h64_l1,3,season,dry,2960,46.31138467159294,26.36690876502993,0.7994171364569259,35.26609235046356,-8.588759051171598,46.9194392952834,0.01295954582627723
lstm_h64_l1,3,pollution,observed > 65 ug/m3,1830,53.47813763637754,35.74096298118093,0.676100743677229,24.293594562781742,-22.804194880561916,49.64839763756875,-0.07713723264073358
lstm_h64_l1,3,pollution,observed <= 65 ug/m3,2109,27.596990490525673,13.028828855617089,-1.2971145686807097,42.78950580300956,7.437014474757889,34.91574224364772,0.2096118049575062
lstm_h64_l1,3,pollution,observed > 35 ug/m3,2450,48.22722061256738,30.61129988749711,0.7400610550484197,25.003287295715566,-15.711871623944756,46.08553715314467,-0.04647192138188139
lstm_h64_l1,3,pollution,observed <= 35 ug/m3,1489,27.687576614120257,12.012140757346957,-8.08581145852345,49.323231641326146,8.359350150772816,35.518664868814106,0.22047811435529652
persistence,6,overall,all,3921,60.27394741981769,34.92527416475389,0.5911523196801742,48.81684994180804,0.34787044121397603,60.27394741981769,0.0
persistence,6,season,monsoon (wet),970,33.12492754320027,22.504123711340206,0.4284932838112069,44.786623116589496,0.05257731958762887,33.12492754320027,0.0
persistence,6,season,dry,2951,66.83139058762204,39.008132836326666,0.5833074602104551,50.14159410326583,0.44493392070484583,66.83139058762204,0.0
persistence,6,pollution,observed > 65 ug/m3,1821,67.28666941812364,46.29654036243822,0.48837833054735746,34.771795752253524,-16.328390993959363,67.28666941812364,0.0
persistence,6,pollution,observed <= 65 ug/m3,2100,53.4532372399331,25.064761904761905,-7.623767217260895,60.995918360464586,14.808571428571428,53.4532372399331,0.0
persistence,6,pollution,observed > 35 ug/m3,2438,62.11472885400897,41.332239540607056,0.5702225863682472,38.15277402589527,-10.723543888433142,62.11472885400897,0.0
persistence,6,pollution,observed <= 35 ug/m3,1483,57.11898595895323,24.392447741065407,-37.58105784043471,66.3482168217779,18.548887390424813,57.11898595895323,0.0
seasonal_naive,6,overall,all,3921,96.24351977244618,66.48150981892374,-0.04242606755371048,85.85451222123702,0.4651874521805662,60.27394741981769,-0.5967681542755887
seasonal_naive,6,season,monsoon (wet),970,50.29660479205577,37.843298969072166,-0.3176158292582063,71.82395372951471,-1.245360824742268,33.12492754320027,-0.518391390485635
seasonal_naive,6,season,dry,2951,107.126040151225,75.89495086411387,-0.07064337311904056,90.46638675087803,1.0274483226025077,66.83139058762204,-0.6029299885773438
seasonal_naive,6,pollution,observed > 65 ug/m3,1821,99.51001318348894,76.94453596924767,-0.11898543618688895,68.15318069754312,-48.04063701263042,67.28666941812364,-0.47889640019373525
seasonal_naive,6,pollution,observed <= 65 ug/m3,2100,93.31848691443727,57.40857142857143,-25.283571460922555,101.20409541392586,42.526666666666664,53.4532372399331,-0.7457967324890511
seasonal_naive,6,pollution,observed > 35 ug/m3,2438,91.3557623121235,68.4487284659557,0.07033540389209958,71.45807830443886,-34.11074651353569,62.11472885400897,-0.4707584496881736
seasonal_naive,6,pollution,observed <= 35 ug/m3,1483,103.77972808905749,63.24747134187458,-126.36151330399748,109.52174478304009,57.306810519217805,57.11898595895323,-0.8169042455276698
climatology,6,overall,all,3921,93.60657621241802,70.48122541068103,0.013913553779440924,83.94192122359871,5.789194039152395,60.27394741981769,-0.5530188451145108
climatology,6,season,monsoon (wet),970,43.48240208991532,35.95270771889801,0.015221587101717504,67.65533616404565,5.692926811521237,33.12492754320027,-0.31267916082856995
climatology,6,season,dry,2951,104.98027703675805,81.83082288985067,-0.028182383823373236,89.2953565024081,5.8208372823927315,66.83139058762204,-0.5708228740073775
climatology,6,pollution,observed > 65 ug/m3,1821,111.83655182667906,75.21424488751663,-0.41337824812580415,48.23626018046002,-63.92560612876832,67.28666941812364,-0.6620907646909913
climatology,6,pollution,observed <= 65 ug/m3,2100,74.25999967378915,66.37702137862505,-15.64404520790995,114.90383015672043,66.2418850419065,53.4532372399331,-0.3892516806879569
climatology,6,pollution,observed > 35 ug/m3,2438,99.38569023881612,65.84593757098385,-0.10027720867539114,49.132808887829505,-38.19731714918179,62.11472885400897,-0.6000341959538575
climatology,6,pollution,observed <= 35 ug/m3,1483,83.23843490681529,78.10147608713537,-80.93339775531321,141.1668813548228,78.10147608713537,57.11898595895323,-0.4572813839277885
sarimax,6,overall,all,3915,56.65704460884217,35.37176709264027,0.6392575897411015,52.796760590169626,-2.091092957311288,60.27394741981769,0.060007730799232606
sarimax,6,season,monsoon (wet),964,31.165710684365514,22.29905631235211,0.49703381984751505,46.13961577814221,4.851781946610518,33.12492754320027,0.05914629869845367
sarimax,6,season,dry,2951,62.7800979126313,39.6422154803725,0.6322957013191761,54.9714429347289,-4.359114444054975,66.83139058762204,0.06061960763301977
sarimax,6,pollution,observed > 65 ug/m3,1820,66.66917693473339,45.832727891571324,0.49779304290280857,32.32037666215737,-31.052800286824077,67.28666941812364,0.00917704039641365
