model,window,horizon_h,seed,n_params,rmse,mae,r2,smape,bias,n,skill_vs_persistence
gru_h32_l1,24,12,31415,12513,77.68051443962487,49.23433061768163,0.32611234054430005,62.819013299954904,-19.38781565102732,3885,0.004090449064777513
gru_h32_l1,24,24,42,12513,94.19862952261342,61.37577457199052,0.024715429055339744,78.31848426133409,-27.56197121401094,3813,0.03179238585294575
gru_h32_l1,24,24,1337,12513,98.2396609811694,63.69234200626538,-0.06075697247474787,83.47780812324208,-33.86671697278401,3813,-0.009742798331898728
gru_h32_l1,24,24,2024,12513,99.94797139590594,63.5051062629709,-0.09796918760213846,84.17859332594077,-35.94951248280165,3813,-0.027301431183107905
gru_h32_l1,24,24,7,12513,94.55988849730349,61.81609747900325,0.017220502371168234,79.46911631347967,-28.009176404329406,3813,0.028079235335294883
gru_h32_l1,24,24,31415,12513,94.23498525122645,61.16558099457053,0.023962466434391705,79.51032574501414,-33.126519528937294,3813,0.031418708513483495
gru_h32_l1,48,1,42,12513,25.449862859553956,12.380205275523311,0.9267187591068513,21.26283701815887,-3.4891507073151673,3951,-0.19599783195482012
gru_h32_l1,48,1,1337,12513,27.83588522426606,13.466779593663757,0.9123338375064074,21.753166631256544,-6.709609262870579,3951,-0.30812722105760315
gru_h32_l1,48,1,2024,12513,26.87654001876253,13.122113699268409,0.9182724200531508,21.720888951389927,-4.651417536303077,3951,-0.263043489478761
gru_h32_l1,48,1,7,12513,30.187357784989633,13.973868784159134,0.8968968043910014,21.592824783111062,-5.484863184444012,3951,-0.4186329672003912
gru_h32_l1,48,1,31415,12513,27.8251036681015,13.589428540247981,0.9124017350854643,21.93441246930064,-6.5079524806681945,3951,-0.30762054965158914
gru_h32_l1,48,3,42,12513,46.58873428809851,25.44878246920867,0.7548889617718099,35.62561510647334,-11.055864515651278,3939,-0.09874378515479099
gru_h32_l1,48,3,1337,12513,45.49391087861445,25.19084220914352,0.7662736962764019,35.480385193498265,-9.45576154861369,3939,-0.07292358558521639
gru_h32_l1,48,3,2024,12513,46.68940030852393,25.802700328321915,0.7538285762276815,36.15362437415341,-12.248983984154098,3939,-0.1011178819403944
gru_h32_l1,48,3,7,12513,44.759267270506456,24.74062399989,0.7737612552188138,35.00196921539099,-8.181248367977632,3939,-0.05559782838132188
gru_h32_l1,48,3,31415,12513,44.74841110493102,25.109550186221064,0.7738709883563865,35.81615728636468,-10.155012952494799,3939,-0.05534179771985648
gru_h32_l1,48,6,42,12513,61.606818467589434,36.428481382432814,0.5728702408481146,48.52006083594302,-15.125463135947935,3921,-0.022113551622695127
gru_h32_l1,48,6,1337,12513,61.60137422244506,36.100871243411454,0.5729457291277045,47.895571236039615,-12.694455877813231,3921,-0.02202322660869771
gru_h32_l1,48,6,2024,12513,63.47324586651657,37.250876907249726,0.5465977369359409,49.63243659332749,-18.57206318972303,3921,-0.05307929186079785
gru_h32_l1,48,6,7,12513,61.71660615712429,36.06209302977563,0.5713465337521838,47.75931897405854,-13.631157499879048,3921,-0.02393502996009622
gru_h32_l1,48,6,31415,12513,60.34627884467458,35.95768160782917,0.5901704599973685,48.53479922486518,-15.5502129219941,3921,-0.0012000445956044103
gru_h32_l1,48,12,42,12513,77.26385843530421,48.367697088970075,0.3333220335191316,63.090596030929845,-19.139446284005672,3885,0.009432222315776784
gru_h32_l1,48,12,1337,12513,75.60655202430765,47.189057992968706,0.3616157214693916,60.85243291090081,-17.11661514161099,3885,0.030679858166856033
gru_h32_l1,48,12,2024,12513,77.43595380813551,49.38487392762137,0.3303488460243148,63.979731098523,-21.980322157651617,3885,0.007225859153652592
gru_h32_l1,48,12,7,12513,75.40145606912155,47.536729377554735,0.36507448118287966,61.74457779316247,-19.480521993180613,3885,0.03330930806303012
gru_h32_l1,48,12,31415,12513,75.17762891034809,47.59622281048666,0.3688384043795516,61.41615565422356,-17.758329953989687,3885,0.03617890292590187
gru_h32_l1,48,24,42,12513,94.35101815949142,61.16055339390386,0.021557368200388005,77.8143285403564,-24.995275480232475,3813,0.030226080278411338
gru_h32_l1,48,24,1337,12513,92.258088784917,60.468555230672116,0.06448427473993412,77.81399145452407,-23.03882631695071,3813,0.05173796603093728
gru_h32_l1,48,24,2024,12513,91.72776057898909,60.79789847159228,0.07520863347765783,77.84820802166263,-25.534321711901587,3813,0.05718887131032979
gru_h32_l1,48,24,7,12513,93.77833591743193,61.77030964759939,0.033399024888411843,79.39866468552353,-27.764070475486744,3813,0.03611231567332951
gru_h32_l1,48,24,31415,12513,93.98938697522807,60.810977837048064,0.02904339812530321,78.49675571304361,-31.440703185575494,3813,0.0339430565007961
gru_h32_l1,168,1,42,12513,32.17595221372968,14.850733035657425,0.8828655241709578,22.825653918138105,-7.957266785752188,3951,-0.5120855189306528
gru_h32_l1,168,1,1337,12513,30.635905873867458,14.362507376042176,0.8938100601084962,22.37931972339606,-6.989806674202799,3951,-0.4397121590524593
gru_h32_l1,168,1,2024,12513,30.5281613112596,14.715664377104192,0.8945556733996654,22.89447468905708,-7.452661658185337,3951,-0.43464878154056263
gru_h32_l1,168,1,7,12513,29.882642061376238,14.347555375808625,0.8989677772988679,21.8131389322725,-6.729044754070385,3951,-0.4043130729512421
gru_h32_l1,168,1,31415,12513,30.712475103067206,14.616987345723185,0.8932785894376442,22.85075512506538,-6.419660344378143,3951,-0.4433104743998826
gru_h32_l1,168,3,42,12513,48.59323240264954,26.66106712288138,0.7333432238853463,36.6552744114896,-12.075237017735887,3939,-0.1460176568186553
gru_h32_l1,168,3,1337,12513,46.65110571449452,25.66731042742905,0.7542322296758326,35.761641107366714,-10.279083357513347,3939,-0.10021474628243365
gru_h32_l1,168,3,2024,12513,50.099544487166995,27.132477422684435,0.7165551305533648,36.85228205680173,-14.244933481728784,3939,-0.18154236180704375
gru_h32_l1,168,3,7,12513,46.94735883494846,25.60085946465483,0.751100871808764,35.17677301802951,-10.001067571276787,3939,-0.10720154856211339
gru_h32_l1,168,3,31415,12513,45.98100721478976,25.82373620339799,0.7612419592193541,36.28117535326646,-10.854135881309134,3939,-0.08441121409288788
gru_h32_l1,168,6,42,12513,62.93623511543609,36.697455999171986,0.5542372362609067,48.39277012541835,-15.978981898421866,3921,-0.04416979158632417
gru_h32_l1,168,6,1337,12513,62.248324458434936,36.335059775294354,0.563928603961388,47.76191074985324,-11.49220470599516,3921,-0.032756723644884245
gru_h32_l1,168,6,2024,12513,64.03202991665042,37.67632216080115,0.5385795823621629,49.2478835189795,-18.6232116360314,3921,-0.06235003111140336
gru_h32_l1,168,6,7,12513,63.725388135996006,36.89974906215009,0.5429883755057799,48.10129021280695,-15.090000876439438,3921,-0.057262563079508944
gru_h32_l1,168,6,31415,12513,63.07661932917612,37.72817898926872,0.5522464006915488,49.25428476146802,-15.776352442276643,3921,-0.04649889428740028
